feature,importance
Income,0.09394593425729247
Teenhome,0.014333524629973617
Recency,0.11826286938852405
MntWines,0.057552630810162556
MntFruits,0.03220030640981073
MntMeatProducts,0.07381390240177622
MntFishProducts,0.04001472894058289
MntSweetProducts,0.022612725896766564
MntGoldProds,0.06550884953245673
NumDealsPurchases,0.019041749678668493
NumWebPurchases,0.04118883874197211
NumCatalogPurchases,0.023665040474340877
NumStorePurchases,0.028775155743926837
NumWebVisitsMonth,0.0430894888834458
AcceptedCmp3,0.051909967168594424
AcceptedCmp5,0.1104561091812518
AcceptedCmp2,0.008010777432483901
Yrs_Customer,0.05588225489224222
age,0.07957410339839789
Education_,0.0075413291640542245
Marital_Status_,0.01261971297327552
